400万円以上〜600万円未満
600万円以上〜800万円未満
1000万円以上〜1500万円未満
800万円以上〜1000万円未満
1500万円以上〜2000万円未満
200万円以上〜400万円未満
200万円未満
3000万円以上
2000万円以上〜3000万円未満
